日期,游戏名称,渠道号,新增用户,活跃用户,付费用户,运营流水(元),付费ARPU,活跃ARPU,付费率,次日留存率,三日留存率,七日留存率,数据提示
20171031,全民突击,10003901-三星,0,430,8,298.3,37.2875,0.69372093,0.0186,-,-,-,
20171031,战斗吧剑灵,10003901-三星,0,19,0,0,-,0,0,-,-,-,递延
20171031,火影忍者-疾风传,10003901-三星,317,10536,299,13142.04,43.95331104,1.24734624,0.0284,0.3849,-,-,
20171031,天天酷跑3D,10003901-三星,132,549,3,16.2,5.4,0.0295082,0.0055,0,-,-,递延
20171031,全民枪王,10003901-三星,1,165,1,960,960,5.81818182,0.0061,0,-,-,递延
20171031,魂斗罗：归来,10003901-三星,341,9207,446,41105.55,92.16491031,4.46459759,0.0484,0.3783,-,-,
20171031,全民斗战神,10003901-三星,10,152,6,65.6,10.93333333,0.43157895,0.0395,0.3,-,-,
20171031,王者荣耀,10003901-三星,5511,771424,11089,853329.69,76.95280819,1.10617467,0.0144,0.5068,-,-,
20171031,六龙争霸3D,10003901-三星,0,128,7,418,59.71428571,3.265625,0.0547,-,-,-,
20171031,保卫萝卜3,10003901-三星,219,3317,24,581.55,24.23125,0.17532409,0.0072,0.4932,-,-,
20171031,穿越火线-枪战王者,10003901-三星,1026,43323,386,31964.55,82.80971503,0.7378194,0.0089,0.4678,-,-,
20171031,全民超神-周年庆,10003901-三星,46,534,2,1.9,0.95,0.00355805,0.0037,0.3043,-,-,
20171031,御龙在天手游,10003901-三星,21,645,59,10370.4,175.7694915,16.07813953,0.0915,0.4762,-,-,
20171031,英雄战歌,10003901-三星,11,49,1,6.65,6.65,0.13571429,0.0204,0.0909,-,-,
20171031,封神英雄榜,10003901-三星,7,83,8,449.15,56.14375,5.41144578,0.0964,0,-,-,递延
20171031,猎鱼达人,10003901-三星,10,141,8,252.7,31.5875,1.79219858,0.0567,0.1,-,-,
20171031,仙剑奇侠传online,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171031,轩辕传奇,10003901-三星,29,608,114,22627.72,198.4887719,37.21664474,0.1875,0.4483,-,-,
20171031,弹弹堂,10003901-三星,61,696,34,809.9,23.82058824,1.16364943,0.0489,0.2951,-,-,
20171031,最强NBA,10003901-三星,3053,10184,655,34975.85,53.39824427,3.43439218,0.0643,0.5205,-,-,
20171031,梦幻诛仙,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171031,天龙八部,10003901-三星,76,1837,344,53476.4,155.4546512,29.11072401,0.1873,0.4342,-,-,
20171031,龙之谷,10003901-三星,59,913,103,10162.1,98.66116505,11.13044907,0.1128,0.4746,-,-,
20171031,寻仙,10003901-三星,103,578,68,1725.55,25.37573529,2.98538062,0.1176,0.4369,-,-,
20171031,乱世王者,10003901-三星,99,3000,326,32644.8,100.1374233,10.8816,0.1087,0.4141,-,-,
20171031,魔法门之英雄无敌：战争纪元,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171031,街头篮球,10003901-三星,150,2045,36,2506.05,69.6125,1.22545232,0.0176,0.5067,-,-,
20171031,欢乐球吃球,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171031,御史大冒险,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171031,三国群英传-霸王之业,10003901-三星,36,451,61,19487.45,319.4663934,43.2094235,0.1353,0.5278,-,-,
20171031,饭局狼人杀,10003901-三星,163,2117,7,327.75,46.82142857,0.15481814,0.0033,0.3926,-,-,
20171031,卡片怪兽,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171030,全民突击,10003901-三星,2,413,10,762.5,76.25,1.84624697,0.0242,-,0.5,-,
20171030,战斗吧剑灵,10003901-三星,0,16,0,0,-,0,0,-,-,-,递延
20171030,火影忍者-疾风传,10003901-三星,205,10526,417,43014.82,103.1530456,4.0865305,0.0396,-,0.3561,-,
20171030,天天酷跑3D,10003901-三星,124,550,1,76,76,0.13818182,0.0018,-,0,-,递延
20171030,全民枪王,10003901-三星,0,168,1,5.7,5.7,0.03392857,0.006,-,-,-,递延
